nombre,categoria,propio_de_fabricante,consultas_claude,pedido_por_paginas_claude,bloqueado_por_claude,consultas_metaai,pedido_por_paginas_metaai,bloqueado_por_metaai,consultas_chatgpt,pedido_por_paginas_chatgpt,bloqueado_por_chatgpt,consultas_perplexity,pedido_por_paginas_perplexity,bloqueado_por_perplexity,consultas_copilot,pedido_por_paginas_copilot,bloqueado_por_copilot,consultas_deepseek,pedido_por_paginas_deepseek,bloqueado_por_deepseek,consultas_gemini,pedido_por_paginas_gemini,bloqueado_por_gemini,consultas_grok,pedido_por_paginas_grok,bloqueado_por_grok
a.claude.ai,desconocido,1,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
a.nel.cloudflare.com,desconocido,0,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0,,
accounts.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
ad.doubleclick.net,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,2,,
analytics.google.com,publicidad,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
analytics.twitter.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
api.oaistatsig.com,desconocido,1,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0,,
api.sprig.com,desconocido,0,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
apm.volccdn.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
apmplus.volces.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
array508.prod.do.dsp.mp.microsoft.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,
assets-proxy.anthropic.com,desconocido,1,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
browser-intake-datadoghq.com,rastreador,0,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
browser.events.data.microsoft.com,telemetria,0,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
cdn.grok.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
cdn.sprig.com,desconocido,0,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
challenges.cloudflare.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
chat.deepseek.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
chatgpt.com,desconocido,1,0,,,0,,,4,,,0,,,0,,,0,,,0,,,0,,
claude.ai,desconocido,1,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
copilot.fun,desconocido,1,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
copilot.microsoft.com,desconocido,1,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
count.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
edge.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
fe-static.deepseek.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
fp-it-acc.portal101.cn,desconocido,0,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
frontend-cdn.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
fscdn.eppo.cloud,desconocido,0,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
gateway.meta.ai,desconocido,1,0,,,2,,,0,,,0,,,0,,,0,,,0,,,0,,
gator.volces.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,2,,,0,,,0,,
gemini.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
gemini.gstatic.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
googleads.g.doubleclick.net,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,2,,
grok.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
js.stripe.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,4,,
lh3.googleusercontent.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
login.live.com,desconocido,1,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
login.microsoftonline.com,desconocido,1,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
m.stripe.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
m.stripe.network,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
o4508134825000960.ingest.us.sentry.io,desconocido,0,0,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,
ogs.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
pplx-next-static-public.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
r2cdn.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
s-cdn.anthropic.com,desconocido,1,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
sdk-api-v1.singular.net,desconocido,0,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
sgtm-prod-985009374134.us-central1.run.app,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
signaler-pa.clients6.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
ssl.gstatic.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
stapecdn.com,desconocido,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
static.ads-twitter.com,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
stats.g.doubleclick.net,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
stun.l.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
suggest.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
t.co,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
t1.gstatic.com,desconocido,1,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0,,
t3.gstatic.com,desconocido,1,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0,,
waa-pa.clients6.google.com,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
ws.chatgpt.com,desconocido,1,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0,,
www.google-analytics.com,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,2,,
www.google.com.co,desconocido,1,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
www.googleadservices.com,publicidad,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,
www.googletagmanager.com,rastreador,0,0,,,0,,,0,,,0,,,0,,,0,,,2,,,2,,
www.meta.ai,desconocido,1,0,,,2,,,0,,,0,,,0,,,0,,,0,,,0,,
www.perplexity.ai,desconocido,1,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,
